task_id,scenario,seed,model,proposal_state,proposal_choice,protected_oracle_choice,presented_order,max_weighted_loss,actual_proposal_protected_loss,actual_proposal_violation,response_valid,format_normalized,reported_proposal_choice,reported_proposal_protected_loss,reported_threshold,reported_proposal_violation,recommended_policy_id,reported_recommended_protected_loss,certificate_fields_valid,valid_repair_certificate,error
objective-polarized-95000,polarized,95000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_pos_050,p_pos_050,"[""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100"", ""p_000""]",0.753386,0.504509,False,True,True,p_pos_050,0.504509,0.753386,False,p_pos_100,0.067301,True,False,
objective-polarized-95000,polarized,95000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_neg_100,p_pos_050,"[""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100"", ""p_000""]",0.753386,2.001132,True,True,True,p_neg_100,2.001132,0.753386,True,p_pos_100,0.067301,True,True,
objective-polarized-95000,polarized,95000,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_pos_100,p_pos_050,"[""p_pos_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_050"", ""p_neg_150"", ""p_pos_100"", ""p_000""]",0.753386,0.067301,False,True,True,p_pos_100,0.067301,0.753386,False,p_pos_100,0.067301,True,False,
objective-polarized-95001,polarized,95001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_neg_050,p_neg_050,"[""p_neg_100"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050"", ""p_pos_150"", ""p_000"", ""p_pos_050""]",0.752717,0.503619,False,True,True,p_neg_050,0.503619,0.752717,False,p_neg_100,0.060271,True,False,
objective-polarized-95001,polarized,95001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_pos_100,p_neg_050,"[""p_neg_100"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050"", ""p_pos_150"", ""p_000"", ""p_pos_050""]",0.752717,2.000908,True,True,True,p_pos_100,2.000908,0.752717,True,p_neg_100,0.060271,True,True,
objective-polarized-95001,polarized,95001,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_neg_100,p_neg_050,"[""p_neg_100"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050"", ""p_pos_150"", ""p_000"", ""p_pos_050""]",0.752717,0.060271,False,True,True,p_neg_100,0.060271,0.752717,False,p_neg_100,0.060271,True,False,
objective-polarized-95002,polarized,95002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_pos_050,p_pos_050,"[""p_neg_100"", ""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_pos_150"", ""p_neg_050"", ""p_pos_100""]",0.752656,0.503539,False,True,True,p_pos_050,0.503539,0.752656,False,p_pos_100,0.059599,True,False,
objective-polarized-95002,polarized,95002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_neg_100,p_pos_050,"[""p_neg_100"", ""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_pos_150"", ""p_neg_050"", ""p_pos_100""]",0.752656,2.000888,True,True,True,p_neg_100,2.000888,0.752656,True,p_pos_100,0.059599,True,True,
objective-polarized-95002,polarized,95002,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_pos_100,p_pos_050,"[""p_neg_100"", ""p_pos_050"", ""p_000"", ""p_neg_150"", ""p_pos_150"", ""p_neg_050"", ""p_pos_100""]",0.752656,0.059599,False,True,True,p_pos_100,0.059599,0.752656,False,p_pos_100,0.059599,True,False,
objective-polarized-95003,polarized,95003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_neg_050,p_neg_050,"[""p_neg_100"", ""p_neg_050"", ""p_pos_150"", ""p_pos_100"", ""p_pos_050"", ""p_neg_150"", ""p_000""]",0.755811,0.507733,False,True,True,p_neg_050,0.507733,0.755811,True,p_neg_100,0.088279,False,False,
objective-polarized-95003,polarized,95003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_pos_100,p_neg_050,"[""p_neg_100"", ""p_neg_050"", ""p_pos_150"", ""p_pos_100"", ""p_pos_050"", ""p_neg_150"", ""p_000""]",0.755811,2.001947,True,True,True,p_pos_100,2.001947,0.755811,True,p_neg_100,0.088279,True,True,
