task_id,scenario,seed,model,proposal_state,proposal_choice,protected_oracle_choice,presented_order,max_weighted_loss,actual_proposal_protected_loss,actual_proposal_violation,response_valid,format_normalized,reported_proposal_choice,reported_proposal_protected_loss,reported_threshold,reported_proposal_violation,recommended_policy_id,reported_recommended_protected_loss,certificate_fields_valid,valid_repair_certificate,error
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,oracle_correct,p_pos_100,p_pos_100,"[""p_pos_150"", ""p_neg_050"", ""p_pos_100"", ""p_pos_050"", ""p_neg_150"", ""p_000"", ""p_neg_100""]",0.255914,0.01169,False,True,False,p_pos_100,0.01169,0.255914,False,p_neg_050,1.500046,True,False,
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,p_neg_100,p_pos_100,"[""p_pos_150"", ""p_neg_050"", ""p_pos_100"", ""p_pos_050"", ""p_neg_150"", ""p_000"", ""p_neg_100""]",0.255914,2.000034,True,True,False,p_neg_100,2.000034,0.255914,True,p_neg_050,1.500046,True,False,
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,oracle_correct,p_neg_100,p_neg_100,"[""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_000"", ""p_neg_050"", ""p_pos_100"", ""p_neg_100""]",0.302423,0.09576,False,True,False,p_neg_100,0.09576,0.302423,False,p_neg_100,0.09576,True,False,
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,p_pos_100,p_neg_100,"[""p_pos_150"", ""p_pos_050"", ""p_neg_150"", ""p_000"", ""p_neg_050"", ""p_pos_100"", ""p_neg_100""]",0.302423,2.002291,True,True,False,p_pos_100,2.002291,0.302423,True,p_neg_100,0.09576,True,True,
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,oracle_correct,p_pos_100,p_pos_100,"[""p_000"", ""p_pos_050"", ""p_neg_100"", ""p_pos_150"", ""p_neg_050"", ""p_neg_150"", ""p_pos_100""]",0.286172,0.067773,False,True,False,p_pos_100,0.067773,0.286172,False,p_pos_100,0.067773,True,False,
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,p_neg_100,p_pos_100,"[""p_000"", ""p_pos_050"", ""p_neg_100"", ""p_pos_150"", ""p_neg_050"", ""p_neg_150"", ""p_pos_100""]",0.286172,2.001148,True,True,False,p_neg_100,2.001148,0.286172,True,p_pos_100,0.067773,True,True,
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,oracle_correct,p_neg_100,p_neg_100,"[""p_neg_150"", ""p_pos_150"", ""p_000"", ""p_neg_100"", ""p_pos_100"", ""p_pos_050"", ""p_neg_050""]",0.280893,0.058388,False,True,False,p_neg_100,0.058388,0.280893,False,p_neg_100,0.058388,True,False,
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,p_pos_100,p_neg_100,"[""p_neg_150"", ""p_pos_150"", ""p_000"", ""p_neg_100"", ""p_pos_100"", ""p_pos_050"", ""p_neg_050""]",0.280893,2.000852,True,True,False,p_pos_100,2.000852,0.280893,True,p_neg_100,0.058388,True,True,
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,oracle_correct,p_pos_100,p_pos_100,"[""p_000"", ""p_neg_050"", ""p_neg_100"", ""p_neg_150"", ""p_pos_150"", ""p_pos_100"", ""p_pos_050""]",0.284104,0.064113,False,True,False,p_pos_100,0.064113,0.284104,False,p_pos_100,0.064113,True,False,
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,p_neg_100,p_pos_100,"[""p_000"", ""p_neg_050"", ""p_neg_100"", ""p_neg_150"", ""p_pos_150"", ""p_pos_100"", ""p_pos_050""]",0.284104,2.001027,True,True,False,p_neg_100,2.001027,0.284104,True,p_pos_100,0.064113,True,True,
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,oracle_correct,p_neg_100,p_neg_100,"[""p_pos_050"", ""p_neg_100"", ""p_neg_150"", ""p_neg_050"", ""p_000"", ""p_pos_150"", ""p_pos_100""]",0.267232,0.033354,False,True,False,p_neg_100,0.033354,0.267232,False,p_neg_100,0.033354,True,False,
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,p_pos_100,p_neg_100,"[""p_pos_050"", ""p_neg_100"", ""p_neg_150"", ""p_neg_050"", ""p_000"", ""p_pos_150"", ""p_pos_100""]",0.267232,2.000278,True,True,False,p_pos_100,2.000278,0.267232,True,p_neg_100,0.033354,True,True,
