task_id,scenario,seed,model,proposal_state,institution,final_choice,protected_oracle_choice,constraint_followed,protected_oracle_match,proposal_overridden
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,oracle_correct,no_review,p_pos_100,p_pos_100,True,True,False
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,oracle_correct,broad_override,p_neg_050,p_pos_100,False,False,True
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,oracle_correct,certificate_gate,p_pos_100,p_pos_100,True,True,False
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,oracle_correct,mechanical_enforcement,p_pos_100,p_pos_100,True,True,False
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,no_review,p_neg_100,p_pos_100,False,False,False
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,broad_override,p_neg_050,p_pos_100,False,False,True
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,certificate_gate,p_neg_100,p_pos_100,False,False,False
objective-polarized-90000,polarized,90000,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,mechanical_enforcement,p_pos_100,p_pos_100,True,True,True
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,oracle_correct,no_review,p_neg_100,p_neg_100,True,True,False
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,oracle_correct,broad_override,p_neg_100,p_neg_100,True,True,False
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,oracle_correct,certificate_gate,p_neg_100,p_neg_100,True,True,False
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,oracle_correct,mechanical_enforcement,p_neg_100,p_neg_100,True,True,False
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,no_review,p_pos_100,p_neg_100,False,False,False
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,broad_override,p_neg_100,p_neg_100,True,True,True
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,certificate_gate,p_neg_100,p_neg_100,True,True,True
objective-polarized-90001,polarized,90001,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,mechanical_enforcement,p_neg_100,p_neg_100,True,True,True
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,oracle_correct,no_review,p_pos_100,p_pos_100,True,True,False
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,oracle_correct,broad_override,p_pos_100,p_pos_100,True,True,False
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,oracle_correct,certificate_gate,p_pos_100,p_pos_100,True,True,False
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,oracle_correct,mechanical_enforcement,p_pos_100,p_pos_100,True,True,False
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,no_review,p_neg_100,p_pos_100,False,False,False
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,broad_override,p_pos_100,p_pos_100,True,True,True
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,certificate_gate,p_pos_100,p_pos_100,True,True,True
objective-polarized-90002,polarized,90002,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,mechanical_enforcement,p_pos_100,p_pos_100,True,True,True
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,oracle_correct,no_review,p_neg_100,p_neg_100,True,True,False
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,oracle_correct,broad_override,p_neg_100,p_neg_100,True,True,False
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,oracle_correct,certificate_gate,p_neg_100,p_neg_100,True,True,False
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,oracle_correct,mechanical_enforcement,p_neg_100,p_neg_100,True,True,False
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,no_review,p_pos_100,p_neg_100,False,False,False
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,broad_override,p_neg_100,p_neg_100,True,True,True
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,certificate_gate,p_neg_100,p_neg_100,True,True,True
objective-polarized-90003,polarized,90003,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,mechanical_enforcement,p_neg_100,p_neg_100,True,True,True
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,oracle_correct,no_review,p_pos_100,p_pos_100,True,True,False
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,oracle_correct,broad_override,p_pos_100,p_pos_100,True,True,False
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,oracle_correct,certificate_gate,p_pos_100,p_pos_100,True,True,False
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,oracle_correct,mechanical_enforcement,p_pos_100,p_pos_100,True,True,False
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,no_review,p_neg_100,p_pos_100,False,False,False
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,broad_override,p_pos_100,p_pos_100,True,True,True
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,certificate_gate,p_pos_100,p_pos_100,True,True,True
objective-polarized-90004,polarized,90004,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,mechanical_enforcement,p_pos_100,p_pos_100,True,True,True
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,oracle_correct,no_review,p_neg_100,p_neg_100,True,True,False
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,oracle_correct,broad_override,p_neg_100,p_neg_100,True,True,False
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,oracle_correct,certificate_gate,p_neg_100,p_neg_100,True,True,False
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,oracle_correct,mechanical_enforcement,p_neg_100,p_neg_100,True,True,False
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,no_review,p_pos_100,p_neg_100,False,False,False
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,broad_override,p_neg_100,p_neg_100,True,True,True
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,certificate_gate,p_neg_100,p_neg_100,True,True,True
objective-polarized-90005,polarized,90005,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,mechanical_enforcement,p_neg_100,p_neg_100,True,True,True
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,oracle_correct,no_review,p_pos_100,p_pos_100,True,True,False
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,oracle_correct,broad_override,p_pos_100,p_pos_100,True,True,False
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,oracle_correct,certificate_gate,p_pos_100,p_pos_100,True,True,False
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,oracle_correct,mechanical_enforcement,p_pos_100,p_pos_100,True,True,False
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,no_review,p_neg_100,p_pos_100,False,False,False
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,broad_override,p_pos_100,p_pos_100,True,True,True
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,certificate_gate,p_pos_100,p_pos_100,True,True,True
objective-polarized-90006,polarized,90006,mlx-community/Qwen3-8B-4bit,aggregate_pressure_violation,mechanical_enforcement,p_pos_100,p_pos_100,True,True,True
